"xCoords","yCoords","width","colorToUse"
"430",2.8,5.6,9.18753106268834,"#ffd300"
"431",2.6,5.6,9.18753106268834,"#ffd300"
"432",NA,NA,NA,NA
"433",2,6.4,0.0947375190841967,"#a65628"
"434",2.2,6.1,0.0947375190841967,"#a65628"
"435",2.4,6.1,0.0947375190841967,"#a65628"
"436",NA,NA,NA,NA
"437",3,3.7,0.0947375190841967,"#ffd300"
"438",2.8,4,0.0947375190841967,"#ffd300"
"439",2.6,4,0.0947375190841967,"#ffd300"
"440",NA,NA,NA,NA
"441",2,6.4,0.143894672487928,"#377eb8"
"442",2.2,6,0.143894672487928,"#377eb8"
"443",2.4,6,0.143894672487928,"#377eb8"
"444",NA,NA,NA,NA
"445",3,2.8,0.143894672487928,"#ffd300"
"446",2.8,3.2,0.143894672487928,"#ffd300"
"447",2.6,3.2,0.143894672487928,"#ffd300"
"448",NA,NA,NA,NA
"449",2,1.9,0.0699845503030308,"#ffd300"
"450",2.2,2.4,0.0699845503030308,"#ffd300"
"451",2.4,2.4,0.0699845503030308,"#ffd300"
"452",NA,NA,NA,NA
"453",3,6.4,0.0699845503030308,"#e41a1c"
"454",2.8,5.9,0.0699845503030308,"#e41a1c"
"455",2.6,5.9,0.0699845503030308,"#e41a1c"
"456",NA,NA,NA,NA
"457",2,1.9,0.0037674454156292,"#e41a1c"
"458",2.2,1.9,0.0037674454156292,"#e41a1c"
"459",2.4,1.9,0.0037674454156292,"#e41a1c"
"460",NA,NA,NA,NA
"461",3,1.9,0.0037674454156292,"#e41a1c"
"462",2.8,1.9,0.0037674454156292,"#e41a1c"
"463",2.6,1.9,0.0037674454156292,"#e41a1c"
"464",NA,NA,NA,NA
"465",2,1.9,0.00114271079116527,"#f781bf"
"466",2.2,2.2,0.00114271079116527,"#f781bf"
"467",2.4,2.2,0.00114271079116527,"#f781bf"
"468",NA,NA,NA,NA
"469",3,4.6,0.00114271079116527,"#e41a1c"
"470",2.8,4.3,0.00114271079116527,"#e41a1c"
"471",2.6,4.3,0.00114271079116527,"#e41a1c"
"472",NA,NA,NA,NA
"473",2,1.9,0.028755544957788,"#AAAAAA"
